generation,,A1,A2,,N1,N2,,sp1_p1,sp1_p1sd,sp1_t1,sp1_t1sd,sp1_q1,sp1_q1sd,,sp2_p1,sp2_p1sd,sp2_t1,sp2_t1sd,sp2_q1,sp2_q1sd,,sp1sp1, sp1sp2, sp2sp2, sp2sp1,hybrid,,BDM_0,BDM_1,BDM_2,BDM_3,BDM_4,BDM_5,BDM_6,BDM_7,BDM_8,BDM_9,BDM_10,BDM_11,BDM_12,BDM_13,BDM_14,BDM_15,BDM_16,BDM_17,BDM_18,BDM_19,,hy_0,hy_1,hy_2,hy_3,hy_4,hy_5,hy_6,hy_7,hy_8,hy_9,hy_10,hy_11,hy_12,hy_13,hy_14,hy_15,hy_16,hy_17,hy_18,hy_19,,p1_0,p1_1,p1_2,p1_3,p1_4,p1_5,p1_6,p1_7,p1_8,p1_9,p1_10,p1_11,p1_12,p1_13,p1_14,p1_15,p1_16,p1_17,p1_18,p1_19,,t1_0,t1_1,t1_2,t1_3,t1_4,t1_5,t1_6,t1_7,t1_8,t1_9,t1_10,t1_11,t1_12,t1_13,t1_14,t1_15,t1_16,t1_17,t1_18,t1_19,,signal1_p1,signal1_p1sd,signal1_t1,signal1_t1sd, signal1_r{p_t}, signal1_r{bdm_p}, signal1_r{bdm_t}, signal1_Mean_p_mother,signal1_ sd_p_mother, signal1_Mean_t_father,signal1_ sd_t_father, signal1_r{p_mother_t_father},,,
0,,0,0,,7500,7500,,0.4,2.01E-07,2.4,6.71E-07,0.000133333,0.000133333,,0.4,2.01E-07,2.4,6.71E-07,2.76677e-321,0.0115285,,7500,0,7500,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,,0.4,2.58E-07,2.4,2.00E-06,-0.883596,4.89E-07,-3.89E-07,-1.23533,0.159588,0.026,0.283087,0.99787,,0,0
250,,0.0221532,-0.0221612,,7499,7499,,0.398386,0.0136414,2.42494,0.0664944,0.14922,0.390756,,0.39853,0.0145871,2.41382,0.0540405,0.15002,0.385983,,7500,0,7498,0,2,,0,0,0,0,0.000133333,0,0,0,0,0,1,1,1,1,0.999867,1,1,1,1,1,,0,0,0,0,0.00133333,0,0,0,0,0,0,0,0,0,0.00133333,0,0,0,0,0,,0.397567,0.399233,0.399433,0.399833,0.400067,0.399833,0.398367,0.397633,0.395767,0.396133,0.395167,0.397433,0.396533,0.397433,0.400367,0.399267,0.399633,0.399933,0.399933,0.399567,,2.4236,2.4236,2.4206,2.4302,2.4284,2.4246,2.4264,2.423,2.4252,2.4238,2.414,2.4166,2.416,2.416,2.416,2.412,2.4116,2.4086,2.4106,2.4168,,0.398457,0.0141227,2.41938,0.0608393,0.00687813,0.00498027,-0.0913905,0.398592,0.0139693,2.41874,0.060645,0.00931594,,0.149533,0.150773
500,,-0.0137225,0.0136567,,7498,7498,,0.394218,0.0185834,2.43639,0.0772705,0.153908,0.388105,,0.392328,0.0178836,2.44335,0.0805225,0.150173,0.388503,,7497,0,7498,0,5,,0,0,0,0,0,0,0,0,0,0.000266667,1,1,0.999867,0.999867,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0.00266667,0,0,0.00133333,0.00133333,0,0,0,0,0,0,,0.3983,0.3958,0.3931,0.393733,0.392067,0.391267,0.3933,0.3925,0.3956,0.3965,0.396067,0.397267,0.3949,0.393667,0.3922,0.3909,0.391433,0.387167,0.390967,0.388733,,2.4226,2.432,2.4336,2.4358,2.4312,2.4312,2.4484,2.444,2.4422,2.4426,2.4654,2.4544,2.4474,2.4408,2.44,2.4392,2.4388,2.4452,2.4296,2.4326,,0.393273,0.0182598,2.43985,0.0789967,-0.0105322,-0.0516826,0.0441559,0.393037,0.0180096,2.43895,0.0786091,0.0134009,,0.151933,0.150716
750,,0.0214392,-0.0212022,,7500,7499,,0.395703,0.0215667,2.44094,0.0810242,0.150533,0.383675,,0.391329,0.0216633,2.4301,0.0845211,0.139619,0.371619,,7500,0,7497,0,3,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.999867,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00133333,0,,0.400367,0.398467,0.397733,0.396533,0.393067,0.392167,0.3917,0.394533,0.394967,0.3975,0.392167,0.390533,0.390367,0.389333,0.389567,0.391467,0.3935,0.394067,0.391467,0.390833,,2.4354,2.4338,2.4368,2.4448,2.4456,2.442,2.4512,2.444,2.4444,2.4314,2.4224,2.4264,2.419,2.4216,2.4238,2.4266,2.4366,2.443,2.4386,2.4432,,0.393517,0.0217248,2.43553,0.0829706,0.0148974,-0.100658,-0.065223,0.393507,0.021888,2.43568,0.0825163,0.00951328,,0.145,0.142642
1000,,0.0278306,-0.0271442,,7497,7497,,0.395725,0.023451,2.43848,0.0832947,0.136988,0.36619,,0.385964,0.0270947,2.42441,0.066092,0.142324,0.373159,,7498,0,7495,0,7,,0,0,0.000133333,0,0,0,0,0,0.000266667,0,0.999867,1,1,1,1,1,1,0.999867,1,0.999867,,0,0,0.00133333,0,0,0,0,0,0.00266667,0,0.00133333,0,0,0,0,0,0,0.00133333,0,0.00133333,,0.3925,0.394533,0.397367,0.395067,0.397733,0.3944,0.3954,0.3972,0.3957,0.3973,0.3876,0.3829,0.378333,0.381567,0.383933,0.388567,0.3874,0.3882,0.390633,0.390533,,2.4388,2.4328,2.4314,2.4448,2.4358,2.4358,2.4304,2.436,2.4456,2.4532,2.4204,2.4298,2.4232,2.425,2.4258,2.4214,2.427,2.428,2.4234,2.42,,0.390843,0.0258019,2.43143,0.0755027,0.0314633,-0.189031,-0.093116,0.391042,0.0258819,2.43254,0.0759747,0.0294981,,0.139533,0.136597
1250,,0.0133922,-0.0130666,,7496,7499,,0.39431,0.0247515,2.42952,0.0717846,0.142209,0.372373,,0.384725,0.0293651,2.42272,0.0622595,0.156154,0.389751,,7492,0,7500,0,8,,0,0.000133333,0,0.000266667,0,0,0.000133333,0,0,0,1,1,1,0.999867,1,1,1,1,1,1,,0,0.00133333,0,0.00266667,0,0,0.00133333,0,0,0,0,0,0,0.00133333,0,0,0,0,0,0,,0.389533,0.3946,0.394033,0.392667,0.3941,0.395467,0.396333,0.397667,0.3937,0.3951,0.375067,0.378767,0.380433,0.382833,0.383767,0.3844,0.388967,0.391733,0.3904,0.390867,,2.4388,2.4336,2.4406,2.4338,2.4384,2.4292,2.4224,2.4152,2.424,2.4194,2.4226,2.4274,2.4292,2.4266,2.4218,2.4142,2.4184,2.4228,2.4252,2.419,,0.389522,0.0275756,2.42613,0.0672809,0.0191606,-0.173966,-0.0506421,0.389672,0.027373,2.42535,0.0660294,0.0140107,,0.149067,0.145246
1500,,0.015179,-0.0147851,,7499,7497,,0.400807,0.0267416,2.43306,0.0889772,0.137218,0.36714,,0.390406,0.0336952,2.42549,0.0728329,0.148726,0.390287,,7497,0,7496,0,7,,0,0,0,0,0,0,0.000133333,0,0,0,1,0.999733,1,1,1,1,1,0.999867,1,1,,0,0,0,0,0,0,0.00133333,0,0,0,0,0.00266667,0,0,0,0,0,0.00133333,0,0,,0.404333,0.404633,0.3977,0.397533,0.3975,0.400967,0.4023,0.4034,0.4012,0.398467,0.382567,0.3863,0.389767,0.3852,0.389533,0.388767,0.3926,0.3942,0.395233,0.399933,,2.429,2.4266,2.4182,2.4332,2.4344,2.4382,2.439,2.4418,2.429,2.4414,2.4196,2.4098,2.423,2.4296,2.4344,2.435,2.4336,2.4248,2.4226,2.4226,,0.395607,0.0308591,2.42929,0.0813978,0.0152002,-0.168423,-0.0465541,0.395263,0.0312887,2.42876,0.0798866,0.0179939,,0.142933,0.14357
1750,,0.0612533,-0.0590365,,7500,7500,,0.403513,0.0280385,2.45388,0.090537,0.146133,0.381023,,0.38891,0.0335375,2.42352,0.0762418,0.1452,0.378395,,7500,0,7500,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.401633,0.401533,0.402533,0.402333,0.3994,0.4024,0.403867,0.405033,0.4075,0.4089,0.387667,0.385033,0.3867,0.3865,0.390733,0.3883,0.3909,0.392167,0.389333,0.391767,,2.4478,2.4562,2.4498,2.4492,2.455,2.4534,2.4616,2.4578,2.4538,2.4542,2.4168,2.419,2.429,2.4246,2.4358,2.4282,2.432,2.4164,2.4154,2.418,,0.396212,0.0317612,2.4387,0.0850606,0.0478817,-0.229893,-0.178461,0.396112,0.0317137,2.43922,0.0842365,0.0355614,,0.1456,0.144134
2000,,-0.0317567,0.032079,,7499,7498,,0.393796,0.0309552,2.43158,0.071388,0.162555,0.394293,,0.397793,0.0341947,2.44771,0.0923546,0.146306,0.374804,,7496,0,7500,0,4,,0,0,0,0,0.000133333,0,0,0,0,0,1,1,1,0.999867,1,1,1,0.999867,1,1,,0,0,0,0,0.00133333,0,0,0,0,0,0,0,0,0.00133333,0,0,0,0.00133333,0,0,,0.392733,0.390033,0.392267,0.3944,0.394267,0.391267,0.391733,0.3938,0.396833,0.4007,0.3958,0.399733,0.399067,0.399867,0.400933,0.4015,0.398833,0.396833,0.3915,0.393933,,2.4254,2.4268,2.4354,2.43,2.4322,2.4354,2.434,2.4294,2.4332,2.434,2.4448,2.4454,2.4416,2.4382,2.4464,2.4606,2.45,2.4558,2.4464,2.4478,,0.395802,0.0326777,2.43964,0.0829257,0.0254341,0.0611533,0.0972053,0.395495,0.032721,2.43773,0.0828127,0.0261923,,0.1544,0.148027
2250,,-0.0407629,0.0424225,,7500,7495,,0.391723,0.0313701,2.42734,0.0708204,0.142,0.379609,,0.407672,0.0357029,2.44815,0.0895224,0.151034,0.380272,,7498,0,7492,0,10,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.999733,0.9996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00266667,0.004,,0.392033,0.387567,0.393833,0.395167,0.391167,0.393633,0.390933,0.3911,0.3903,0.3915,0.4074,0.408267,0.4105,0.4102,0.4128,0.409267,0.4047,0.404633,0.405067,0.403667,,2.414,2.4132,2.42,2.4206,2.4246,2.4306,2.4348,2.4412,2.4384,2.436,2.437,2.4398,2.4408,2.4514,2.4556,2.4472,2.4496,2.4504,2.4636,2.4464,,0.399687,0.0345372,2.43776,0.0814014,0.0258171,0.230634,0.127973,0.39944,0.0347422,2.43691,0.079832,0.0448595,,0.1464,0.1443
