site,species,diam,live,basal.area
1,Eucalyptus.melanophloia,1,0,0.7854
1,Eucalyptus.melanophloia,1,0,0.7854
1,Eucalyptus.melanophloia,1,0,0.7854
1,Eucalyptus.melanophloia,1,0,0.7854
1,Eucalyptus.melanophloia,1,0,0.7854
1,Eucalyptus.melanophloia,1.41,0,1.5708
1,Eucalyptus.melanophloia,2,0,3.1416
1,Eucalyptus.melanophloia,2,0,3.1416
1,Eucalyptus.melanophloia,2,1,3.1416
1,Eucalyptus.melanophloia,2,1,3.1416
1,Eucalyptus.melanophloia,2,0,3.1416
1,Eucalyptus.melanophloia,2,0,3.1416
1,Eucalyptus.melanophloia,2,0,3.1416
1,Eucalyptus.melanophloia,2,0,3.1416
1,Eucalyptus.melanophloia,2,0,3.1416
1,Eucalyptus.melanophloia,2,0,3.1416
1,Eucalyptus.melanophloia,2,0,3.1416
1,Eucalyptus.melanophloia,3,0,7.0686
1,Eucalyptus.melanophloia,3,0,7.0686
1,Eucalyptus.melanophloia,3,0,7.0686
1,Eucalyptus.melanophloia,3,0,7.0686
1,Eucalyptus.melanophloia,3,0,7.0686
1,Eucalyptus.melanophloia,3,0,7.0686
1,Eucalyptus.melanophloia,3,0,7.0686
1,Eucalyptus.melanophloia,3,0,7.0686
1,Eucalyptus.melanophloia,3,0,7.0686
1,Eucalyptus.melanophloia,3,0,7.0686
1,Eucalyptus.melanophloia,3,0,7.0686
1,Eucalyptus.melanophloia,3.16,0,7.854
1,Eucalyptus.melanophloia,3.61,1,10.2102
1,Eucalyptus.melanophloia,3.61,0,10.2102
1,Eucalyptus.melanophloia,3.61,0,10.2102
1,Eucalyptus.melanophloia,4,0,12.5664
1,Eucalyptus.melanophloia,4,0,12.5664
1,Eucalyptus.melanophloia,4,0,12.5664
1,Eucalyptus.melanophloia,4,0,12.5664
1,Eucalyptus.melanophloia,4,0,12.5664
1,Eucalyptus.melanophloia,4,0,12.5664
1,Eucalyptus.melanophloia,4,0,12.5664
1,Eucalyptus.melanophloia,4,0,12.5664
1,Eucalyptus.melanophloia,4,0,12.5664
1,Eucalyptus.melanophloia,4,0,12.5664
1,Eucalyptus.melanophloia,4,0,12.5664
1,Eucalyptus.melanophloia,4,0,12.5664
1,Eucalyptus.melanophloia,4,0,12.5664
1,Eucalyptus.melanophloia,4,1,12.5664
1,Eucalyptus.melanophloia,4,0,12.5664
1,Eucalyptus.melanophloia,4,0,12.5664
1,Eucalyptus.melanophloia,4.47,0,15.708
1,Eucalyptus.melanophloia,4.69,0,17.2788
1,Eucalyptus.melanophloia,5,0,19.635
1,Eucalyptus.melanophloia,5,0,19.635
1,Eucalyptus.melanophloia,5,0,19.635
1,Eucalyptus.melanophloia,5,0,19.635
1,Eucalyptus.melanophloia,5,0,19.635
1,Eucalyptus.melanophloia,5,0,19.635
1,Eucalyptus.melanophloia,5,0,19.635
1,Eucalyptus.melanophloia,5,0,19.635
1,Eucalyptus.melanophloia,5,0,19.635
1,Eucalyptus.melanophloia,5,0,19.635
